M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: after  Check: check_fv : M=1886.18mb, Malloc-M=468mb, Available-M=12317mb, T=0s CPU=0.04s W=(2025-10-20 13:33:12)
STATS:: before DfgBuild: First_fileCopyForSaveOnTheFly : M=1886.18mb, Malloc-M=468mb, Available-M=12046mb, T=0s CPU=0s W=(2025-10-20 13:33:17)
STATS:: after  DfgBuild: First_fileCopyForSaveOnTheFly : M=1886.18mb, Malloc-M=468mb, Available-M=12072mb, T=0s CPU=0s W=(2025-10-20 13:33:17)
STATS:: before DfgBuild: saveProofDb_lastUpdate : M=1886.18mb, Malloc-M=468mb, Available-M=12323mb, T=0s CPU=0s W=(2025-10-20 13:33:17)
STATS:: after  DfgBuild: saveProofDb_lastUpdate : M=1886.18mb, Malloc-M=468mb, Available-M=12323mb, T=0s CPU=0s W=(2025-10-20 13:33:17)
STATS:: before Check: check_fv : M=1886.18mb, Malloc-M=468mb, Available-M=12319mb, T=0s CPU=0s W=(2025-10-20 13:34:15)
STATS:: after  Check: check_fv : M=1886.18mb, Malloc-M=468mb, Available-M=12319mb, T=0s CPU=0.01s W=(2025-10-20 13:34:15)
STATS:: before Check: compute_formal_core : M=1886.18mb, Malloc-M=468mb, Available-M=12318mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   before Check: BuildFormal : M=1886.18mb, Malloc-M=468mb, Available-M=12318mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: Init : M=1886.18mb, Malloc-M=468mb, Available-M=12317mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: Init : M=1886.18mb, Malloc-M=468mb, Available-M=12308mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: ResetSetup : M=1886.18mb, Malloc-M=468mb, Available-M=12303mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1886.18mb, Malloc-M=468mb, Available-M=12303mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1886.18mb, Malloc-M=468mb, Available-M=12302mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: ResetSetup : M=1886.18mb, Malloc-M=468mb, Available-M=12302mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: BotEotInstr : M=1886.18mb, Malloc-M=468mb, Available-M=12301mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: BotEotInstr : M=1886.18mb, Malloc-M=468mb, Available-M=12301mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: VPSetup : M=1886.18mb, Malloc-M=468mb, Available-M=12300mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: VPSetup : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: VPReset : M=1886.18mb, Malloc-M=468mb, Available-M=12300mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: VPReset : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: InitApp : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: InitApp : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: FormalModel : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   before DfgBuild: Setup : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   after  DfgBuild: Setup : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   |   after  Check: FormalModel : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   after  Check: BuildFormal : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
STATS:: |   |   before Check: GCDB : M=1886.18mb, Malloc-M=468mb, Available-M=12299mb, T=0s CPU=0s W=(2025-10-20 13:35:32)
