M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   before DfgBuild: Setup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: Setup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: Flatten : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: Modeling : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
